iter	Logloss
0	0.6092605792
1	0.5396492317
2	0.4822268616
3	0.4422404529
4	0.40857656
5	0.379516874
6	0.3553817572
7	0.3374677455
8	0.3289550298
9	0.3046854267
10	0.2911435053
11	0.273079724
12	0.2527530414
13	0.2386799205
14	0.2274170311
15	0.217397724
16	0.2096763818
17	0.2022794588
18	0.1904740134
19	0.1813488101
20	0.1757721277
21	0.1706782695
22	0.1653622989
23	0.1605322807
24	0.1559903474
25	0.1508341993
26	0.1460096721
27	0.1432621053
28	0.139017495
29	0.1377611549
30	0.1332854544
31	0.1293969704
32	0.1272049945
33	0.1222264288
34	0.1197628082
35	0.1165926053
36	0.1122344459
37	0.1090257252
38	0.1063205377
39	0.1039727147
40	0.1014414111
41	0.09894064135
42	0.09575601868
43	0.09375368232
44	0.09108378647
45	0.08796849248
46	0.08486176071
47	0.08315407536
48	0.08173066207
49	0.07985952883
50	0.07862970633
51	0.07652958476
52	0.07466478153
53	0.07335680744
54	0.07187302686
55	0.06998907067
56	0.06823872496
57	0.06723580116
58	0.06611594732
59	0.06492825564
60	0.06377176188
61	0.06274250377
62	0.06139365752
63	0.06009766726
64	0.05879093961
65	0.05780173898
66	0.05661936305
67	0.05566329925
68	0.05503163018
69	0.05362256328
70	0.05257928465
71	0.05187104851
72	0.05133421961
73	0.05042796086
74	0.04979088235
75	0.04888725093
76	0.04814356836
77	0.04738514835
78	0.04672344635
79	0.04611908511
80	0.04575207892
81	0.04509662138
82	0.04453901832
83	0.04394585069
84	0.04341240269
85	0.04277614293
86	0.04196608894
87	0.04161186496
88	0.04094675355
89	0.04039768011
90	0.03967667397
91	0.03933894305
92	0.0390687404
93	0.03858858424
94	0.0380788473
95	0.0375116148
96	0.03711409501
97	0.03641704841
98	0.03581571369
99	0.03543034883
100	0.03508493555
101	0.03486395544
102	0.03447420764
103	0.0341129734
104	0.03372109523
105	0.03322341138
106	0.03285293875
107	0.03229464728
108	0.03205659978
109	0.03177930335
110	0.03122268401
111	0.03085298735
112	0.03049729493
113	0.03026858154
114	0.02996622373
115	0.02953643678
116	0.02921470401
117	0.0288869121
118	0.02861663409
119	0.02832814609
120	0.02802682699
121	0.02778055536
122	0.02735656685
123	0.02700606185
124	0.02684184003
125	0.02649942067
126	0.0262881474
127	0.02594359767
128	0.0257684022
129	0.02545627238
130	0.0250724717
131	0.02471749211
132	0.024384692
133	0.02407164568
134	0.02389722619
135	0.02377384801
136	0.02347040465
137	0.02328941685
138	0.02314580423
139	0.02290533307
140	0.0225958265
141	0.022455774
142	0.02221282216
143	0.02202031081
144	0.0216226729
145	0.02135633791
146	0.02115443949
147	0.02090295802
148	0.02068689854
149	0.02051736913
